timestamp_ms,task_name,run_count,exec_time_ms,period_ms,priority,deadline_met,jitter_ms,cpu_percent,confidence,entropy
184769445.56,T_capture,1,0.008,100.00,70,1,0.000,0.0,,
184769448.03,T_sensor_check,1,2.181,150.00,20,1,0.000,0.0,,
184769452.65,T_sched_monitor,1,6.745,40.00,90,1,0.000,0.0,,
184769453.00,T_actuate,1,7.044,50.00,70,1,0.000,0.0,,
184769464.39,T_infer,1,18.480,100.00,40,1,0.000,0.0,,
184769486.22,T_sched_monitor,2,0.271,40.00,90,1,0.018,19.1,,
184769495.81,T_actuate,2,0.010,50.00,70,1,0.012,16.2,,
184769536.02,T_sched_monitor,3,10.104,40.00,90,1,0.009,9.8,,
184769545.79,T_capture,2,0.017,100.00,70,1,0.009,13.9,,
184769552.51,T_actuate,3,6.286,50.00,70,1,0.177,9.9,,
184769565.54,T_infer,2,19.577,125.00,38,1,0.109,11.9,,
184769565.85,T_sched_monitor,4,0.343,40.00,90,1,0.010,10.5,,
184769596.29,T_actuate,4,0.008,50.00,70,1,0.189,21.7,,
184769600.08,T_sensor_check,2,4.018,150.00,20,1,0.011,15.7,,
184769610.96,T_sched_monitor,5,5.003,40.00,90,1,0.015,19.7,,
184769646.39,T_capture,3,0.015,100.00,70,1,0.282,14.8,,
184769652.76,T_sched_monitor,6,6.422,40.00,90,1,0.361,7.0,,
184769653.06,T_actuate,5,7.185,50.00,70,1,0.013,9.1,,
184769689.34,T_infer,3,18.377,150.00,36,1,0.016,15.4,,
184769689.60,T_sched_monitor,7,4.107,40.00,90,1,0.016,17.5,,
184769695.89,T_actuate,6,0.007,50.00,70,1,0.008,13.2,,
184769735.85,T_sched_monitor,8,10.027,40.00,90,1,0.009,14.9,,
184769746.57,T_capture,4,0.018,100.00,70,1,0.447,13.5,,
184769748.34,T_sensor_check,3,2.316,150.00,20,1,0.017,12.2,,
184769752.41,T_actuate,7,6.156,50.00,70,1,0.214,11.8,,
184769769.00,T_sched_monitor,9,3.342,40.00,90,1,0.009,3.4,,
184769809.72,T_sched_monitor,10,3.841,40.00,90,1,0.010,7.5,,
184769810.08,T_actuate,8,14.108,50.00,70,1,0.009,6.7,,
184769839.09,T_infer,4,18.212,175.00,34,1,0.010,9.7,,
184769845.78,T_capture,5,0.008,100.00,70,1,0.223,15.4,,
184769846.44,T_actuate,9,0.254,50.00,70,1,0.008,30.0,,
184769846.66,T_sched_monitor,11,0.663,40.00,90,1,0.460,30.0,,
184769894.10,T_sched_monitor,12,8.335,40.00,90,1,0.009,5.1,,
184769900.28,T_sensor_check,4,4.178,150.00,20,1,0.005,11.9,,
184769909.48,T_actuate,10,13.095,50.00,70,1,0.185,8.0,,
184769935.71,T_sched_monitor,13,9.949,40.00,90,1,0.010,9.3,,
184769945.85,T_capture,6,0.009,100.00,70,1,0.228,9.7,,
184769952.53,T_actuate,11,6.328,50.00,70,1,0.009,12.8,,
184769969.26,T_sched_monitor,14,3.363,40.00,90,1,0.009,38.5,,
184770003.23,T_actuate,12,6.736,50.00,70,1,0.011,16.4,,
184770011.09,T_sched_monitor,15,5.214,40.00,90,1,0.007,2.1,,
184770014.40,T_infer,5,18.407,200.00,32,1,0.002,16.3,,
184770045.78,T_sched_monitor,16,0.175,40.00,90,1,0.012,6.1,,
184770046.06,T_actuate,13,0.007,50.00,70,1,0.228,6.2,,
184770046.29,T_capture,7,0.010,100.00,70,1,0.649,13.4,,
184770048.57,T_sensor_check,5,2.322,150.00,20,1,0.294,14.8,,
184770094.04,T_sched_monitor,17,8.086,40.00,90,1,0.011,8.5,,
184770108.84,T_actuate,14,12.843,50.00,70,1,0.014,14.4,,
184770128.97,T_sched_monitor,18,3.306,40.00,90,1,0.009,27.7,,
184770145.56,T_capture,8,0.011,100.00,70,1,0.008,14.5,,
184770157.07,T_actuate,15,10.969,50.00,70,1,0.002,19.6,,
184770169.30,T_sched_monitor,19,3.457,40.00,90,1,0.008,14.6,,
184770198.19,T_sensor_check,6,2.077,150.00,20,1,0.009,12.6,,
184770202.34,T_actuate,16,6.014,50.00,70,1,0.426,3.6,,
184770211.14,T_sched_monitor,20,5.093,40.00,90,1,0.004,7.5,,
184770214.86,T_infer,6,18.688,225.00,30,1,0.388,12.7,,
184770246.28,T_sched_monitor,21,0.144,40.00,90,1,0.439,20.0,,
184770246.45,T_actuate,17,0.656,50.00,70,1,0.009,21.1,,
184770246.74,T_capture,9,0.007,100.00,70,1,1.018,13.9,,
184770294.37,T_sched_monitor,22,8.284,40.00,90,1,0.011,13.6,,
184770302.35,T_actuate,18,6.390,50.00,70,1,0.004,11.6,,
184770335.76,T_sched_monitor,23,10.059,40.00,90,1,0.009,7.3,,
184770345.96,T_capture,10,0.121,100.00,70,1,0.008,13.8,,
184770350.05,T_sensor_check,7,3.990,150.00,20,1,0.209,14.9,,
184770352.25,T_actuate,19,6.034,50.00,70,1,0.347,14.5,,
184770376.22,T_sched_monitor,24,10.512,40.00,90,1,0.009,11.5,,
184770410.64,T_actuate,20,14.524,50.00,70,1,0.011,3.1,,
184770411.23,T_sched_monitor,25,5.373,40.00,90,1,0.012,4.3,,
184770439.18,T_infer,7,18.278,250.00,28,1,0.009,9.8,,
184770446.19,T_capture,11,0.011,100.00,70,1,0.371,1.7,,
184770446.41,T_actuate,21,0.570,50.00,70,1,0.009,0.0,,
184770446.67,T_sched_monitor,26,0.755,40.00,90,1,0.339,0.0,,
184770494.71,T_sched_monitor,27,8.641,40.00,90,1,0.020,100.0,,
184770498.24,T_sensor_check,8,2.322,150.00,20,1,0.007,6.2,,
184770502.62,T_actuate,22,6.195,50.00,70,1,0.182,100.0,,
184770536.03,T_sched_monitor,28,9.977,40.00,90,1,0.013,0.0,,
184770545.86,T_capture,12,0.031,100.00,70,1,0.015,2.9,,
184770553.05,T_actuate,23,6.570,50.00,70,1,0.291,1.1,,
184770568.91,T_sched_monitor,29,2.973,40.00,90,1,0.010,2.0,,
184770602.60,T_actuate,24,6.596,50.00,70,1,0.010,16.1,,
184770610.47,T_sched_monitor,30,4.781,40.00,90,1,0.005,17.0,,
184770646.40,T_capture,13,0.020,100.00,70,1,0.441,8.8,,
184770648.52,T_sensor_check,9,2.581,150.00,20,1,0.010,3.7,,
184770652.58,T_actuate,25,6.056,50.00,70,1,0.213,0.0,,
184770653.11,T_sched_monitor,31,7.345,40.00,90,1,0.016,0.0,,
184770689.71,T_infer,8,18.586,250.00,26,1,0.015,6.7,,
184770690.35,T_sched_monitor,32,4.593,40.00,90,1,0.014,13.2,,
184770696.01,T_actuate,26,0.008,50.00,70,1,0.009,11.1,,
184770736.07,T_sched_monitor,33,10.234,40.00,90,1,0.015,16.4,,
184770745.98,T_capture,14,0.009,100.00,70,1,0.236,15.2,,
184770753.05,T_actuate,27,6.690,50.00,70,1,0.009,19.7,,
184770769.22,T_sched_monitor,34,3.092,40.00,90,1,0.013,10.0,,
184770800.20,T_sensor_check,10,3.909,150.00,20,1,0.003,14.0,,
184770803.16,T_actuate,28,6.799,50.00,70,1,0.009,10.0,,
184770810.77,T_sched_monitor,35,5.084,40.00,90,1,0.010,12.5,,
184770845.65,T_capture,15,0.013,100.00,70,1,0.009,24.4,,
184770860.63,T_sched_monitor,36,14.292,40.00,90,1,0.343,35.1,,
184770861.05,T_actuate,29,15.001,50.00,70,1,0.062,34.2,,
184770894.44,T_sched_monitor,37,8.438,40.00,90,1,0.010,8.6,,
184770902.71,T_actuate,30,6.573,50.00,70,1,0.003,8.6,,
184770936.38,T_sched_monitor,38,10.354,40.00,90,1,0.008,12.5,,
184770939.87,T_infer,9,18.784,250.00,24,1,0.012,17.8,,
184770945.94,T_capture,16,0.019,100.00,70,1,0.012,9.8,,
184770948.77,T_sensor_check,11,2.397,150.00,20,1,0.201,18.6,,
184770952.91,T_actuate,31,6.363,50.00,70,1,0.374,10.0,,
184770965.90,T_sched_monitor,39,0.233,40.00,90,1,0.014,15.0,,
184770996.39,T_actuate,32,0.007,50.00,70,1,0.008,26.7,,
184771010.80,T_sched_monitor,40,4.763,40.00,90,1,0.011,27.5,,
184771045.76,T_capture,17,0.009,100.00,70,1,0.206,22.5,,
184771060.53,T_sched_monitor,41,14.580,40.00,90,1,0.009,15.5,,
184771060.83,T_actuate,33,14.928,50.00,70,1,0.002,17.4,,
184771094.02,T_sched_monitor,42,8.187,40.00,90,1,0.009,15.0,,
184771098.15,T_sensor_check,12,2.205,150.00,20,1,0.004,20.1,,
184771101.93,T_actuate,34,5.892,50.00,70,1,0.168,16.4,,
184771135.52,T_sched_monitor,43,9.655,40.00,90,1,0.010,13.8,,
184771145.57,T_capture,18,0.016,100.00,70,1,0.008,15.2,,
184771151.93,T_actuate,35,5.876,50.00,70,1,0.003,13.6,,
184771168.75,T_sched_monitor,44,3.233,40.00,90,1,0.010,28.6,,
184771189.42,T_infer,10,18.238,250.00,22,1,0.004,18.7,,
184771202.24,T_actuate,36,6.296,50.00,70,1,0.008,28.2,,
184771205.83,T_sched_monitor,45,0.166,40.00,90,1,0.007,22.0,,
184771245.75,T_capture,19,0.012,100.00,70,1,0.009,19.8,,
184771246.26,T_actuate,37,0.003,50.00,70,1,0.154,14.0,,
184771248.96,T_sensor_check,13,2.505,150.00,20,1,0.488,17.3,,
184771251.83,T_sched_monitor,46,5.858,40.00,90,1,0.437,14.3,,
184771301.41,T_sched_monitor,47,15.750,40.00,90,1,0.011,3.4,,
184771301.77,T_actuate,38,5.804,50.00,70,1,0.009,5.3,,
184771335.82,T_sched_monitor,48,9.428,40.00,90,1,0.010,7.3,,
184771345.55,T_capture,20,0.016,100.00,70,1,0.011,8.6,,
184771352.02,T_actuate,39,6.012,50.00,70,1,0.002,12.7,,
184771368.82,T_sched_monitor,49,2.873,40.00,90,1,0.009,4.4,,
184771398.52,T_sensor_check,14,2.280,150.00,20,1,0.003,7.4,,
184771402.06,T_actuate,40,6.136,50.00,70,1,0.011,5.9,,
184771410.37,T_sched_monitor,50,4.727,40.00,90,1,0.005,23.7,,
184771439.31,T_infer,11,18.474,250.00,20,1,0.008,8.9,,
184771445.59,T_capture,21,0.011,100.00,70,1,0.008,7.0,,
184771446.09,T_actuate,41,0.007,50.00,70,1,0.094,9.4,,
184771446.27,T_sched_monitor,51,0.498,40.00,90,1,0.271,4.4,,
184771501.88,T_sched_monitor,52,16.153,40.00,90,1,0.011,14.5,,
184771502.06,T_actuate,42,6.265,50.00,70,1,0.009,14.5,,
184771543.32,T_sched_monitor,53,17.698,40.00,90,1,0.014,2.3,,
184771546.08,T_capture,22,0.011,100.00,70,1,0.394,8.7,,
184771548.25,T_sensor_check,15,2.290,150.00,20,1,0.006,9.2,,
184771551.97,T_actuate,43,5.952,50.00,70,1,0.182,2.0,,
184771568.89,T_sched_monitor,54,3.203,40.00,90,1,0.011,3.1,,
184771602.39,T_actuate,44,6.392,50.00,70,1,0.011,11.5,,
184771610.55,T_sched_monitor,55,4.860,40.00,90,1,0.008,20.0,,
184771645.66,T_capture,23,0.021,100.00,70,1,0.012,7.3,,
184771651.92,T_sched_monitor,56,5.876,40.00,90,1,0.355,0.0,,
184771652.72,T_actuate,45,6.244,50.00,70,1,0.078,0.0,,
184771689.61,T_infer,12,18.507,250.00,20,1,0.014,9.2,,
184771690.45,T_sched_monitor,57,4.418,40.00,90,1,0.011,21.1,,
184771696.22,T_actuate,46,0.005,50.00,70,1,0.179,16.3,,
184771698.31,T_sensor_check,16,2.383,150.00,20,1,0.007,9.0,,
184771735.67,T_sched_monitor,58,9.853,40.00,90,1,0.010,20.5,,
184771745.64,T_capture,24,0.015,100.00,70,1,0.011,15.5,,
184771753.97,T_actuate,47,6.610,50.00,70,1,0.028,14.5,,
184771768.82,T_sched_monitor,59,2.944,40.00,90,1,0.008,0.0,,
184771802.43,T_actuate,48,6.065,50.00,70,1,0.010,2.1,,
184771810.64,T_sched_monitor,60,4.934,40.00,90,1,0.007,2.3,,
184771846.48,T_capture,25,0.019,100.00,70,1,0.429,8.3,,
184771848.29,T_sensor_check,17,2.430,150.00,20,1,0.009,10.8,,
184771852.51,T_actuate,49,6.218,50.00,70,1,0.204,13.2,,
184771852.73,T_sched_monitor,61,7.280,40.00,90,1,0.012,14.1,,
184771894.08,T_sched_monitor,62,8.287,40.00,90,1,0.012,0.0,,
184771902.78,T_actuate,50,6.688,50.00,70,1,0.006,0.0,,
184771935.69,T_sched_monitor,63,9.684,40.00,90,1,0.007,2.6,,
184771939.29,T_infer,13,18.434,250.00,20,1,0.010,7.7,,
184771945.54,T_capture,26,0.013,100.00,70,1,0.007,2.9,,
184771960.73,T_actuate,51,14.415,50.00,70,1,0.003,5.3,,
